ticker,crsp_fundno,caldt,dnav,dret
SSO,25653,20161013,68.74,-0.006217
SSO,25653,20160224,56.07,0.008998
SSO,25653,20161220,78.21,0.007471
SSO,25653,20160601,66.51,0.002411
SSO,25653,20160516,64.37,0.019804
SSO,25653,20160321,63.44,0.001895
SSO,25653,20160411,62.75,-0.005547
SSO,25653,20160308,59.02,-0.0222
SSO,25653,20160208,51.68,-0.028206
SSO,25653,20160125,53.04,-0.03141
SSO,25653,20151124,66.08,0.002427
SSO,25653,20140722,118.62,0.009704
SSO,25653,20140813,114.43,0.013911
SSO,25653,20150601,67.67,0.004155
SSO,25653,20150701,65.5,0.01456
SSO,25653,20150618,68.35,0.020149
SSO,25653,20150610,67.28,0.024205
SSO,25653,20150511,134.28,-0.009881
SSO,25653,20140610,114.69,-0.000349
SSO,25653,20141022,112.22,-0.014404
SSO,25653,20150331,129.35,-0.017471
SSO,25653,20140421,105.19,0.007374
SSO,25653,20140320,105.27,0.01192
SSO,25653,20150108,128.61,0.035757
SSO,25653,20140303,102.29,-0.014642
SSO,25653,20150202,123.34,0.025696
SSO,25653,20140221,101.2,-0.00325
SSO,25653,20150115,120.06,-0.018637
SSO,25653,20150130,120.25,-0.025921
SSO,25653,20150105,123.5,-0.036436
SSO,25653,20160630,66.32,0.027102
SSO,25653,20140324,103.61,-0.009559
SSO,25653,20150227,134.19,-0.006
SSO,25653,20140401,106.77,0.01396
SSO,25653,20140313,102.45,-0.022983
SSO,25653,20140115,102.42,0.010358
SSO,25653,20141125,129.48,-0.001773
SSO,25653,20141224,131.13,-0.000076
SSO,25653,20141107,124.88,0.001203
SSO,25653,20150406,130.98,0.013307
SSO,25653,20150410,133.76,0.010425
SSO,25653,20141208,128.74,-0.014166
SSO,25653,20150427,134.59,-0.008399
SSO,25653,20150304,133.48,-0.008468
SSO,25653,20140929,118.34,-0.004877
SSO,25653,20140611,113.9,-0.006888
SSO,25653,20150210,129.35,0.021319
SSO,25653,20141029,118.68,-0.002605
SSO,25653,20140805,111.14,-0.019324
SSO,25653,20140717,115.65,-0.023391
SSO,25653,20150708,63.58,-0.032857
SSO,25653,20150513,133.48,-0.00015
SSO,25653,20141028,118.99,0.023658
SSO,25653,20140911,120.77,0.002241
SSO,25653,20150831,58.87,-0.016703
SSO,25653,20140630,115.8,-0.000777
SSO,25653,20141006,116.79,-0.003073
SSO,25653,20150529,67.39,-0.012601
SSO,25653,20151019,62.5,0.00064
SSO,25653,20151103,67.23,0.005384
SSO,25653,20140806,111.21,0.00063
SSO,25653,20151116,63.79,0.030034
SSO,25653,20151006,59.21,-0.00721
SSO,25653,20140904,120.69,-0.003056
SSO,25653,20160115,53.26,-0.043119
SSO,25653,20160203,55.03,0.010652
SSO,25653,20160413,65.26,0.020166
SSO,25653,20151105,66.68,-0.001796
SSO,25653,20160527,66.48,0.008801
SSO,25653,20151112,63.35,-0.027629
SSO,25653,20151123,65.92,-0.002572
SSO,25653,20151215,63.24,0.021153
SSO,25653,20150914,57.69,-0.008081
SSO,25653,20160209,51.63,-0.000967
SSO,25653,20160210,51.64,0.000194
SSO,25653,20160314,61.49,-0.002433
SSO,25653,20160316,61.96,0.011427
SSO,25653,20160629,64.57,0.034278
SSO,25653,20161019,69.51,0.00477
SSO,25653,20160415,65.15,-0.002144
SSO,25653,20160912,70.46,0.029364
SSO,25653,20161205,73.7,0.011807
SSO,25653,20161130,73.3,-0.005022
SSO,25653,20160823,72.27,0.003889
SSO,25653,20160815,72.41,0.005694
SSO,25653,20160804,70.65,0.001134
SSO,25653,20170106,78.61,0.007433
SSO,25653,20170123,77.79,-0.00537
SSO,25653,20170117,77.95,-0.006247
SSO,25653,20160718,70.74,0.00483
SSO,25653,20170207,79.71,0.000377
SSO,25653,20170228,84.92,-0.005271
SSO,25653,20180925,127.73,-0.002499
SSO,25653,20180918,126.82,0.01076
SSO,25653,20180831,126.53,0.000316
SSO,25653,20180726,120.97,-0.006162
SSO,25653,20131028,92.77,0.002811
SSO,25653,20170714,92.14,0.009311
SSO,25653,20180621,113.82,-0.01275
SSO,25653,20180323,101.39,-0.042135
SSO,25653,20180215,113.3,0.024505
SSO,25653,20180306,112.97,0.00525
SSO,25653,20180409,103.12,0.007425
SSO,25653,20180308,113.92,0.009303
SSO,25653,20171206,105.63,-0.000189
SSO,25653,20171115,100.43,-0.010639
SSO,25653,20171204,106.44,-0.00225
SSO,25653,20180124,122.77,-0.001139
SSO,25653,20180216,113.39,0.000794
SSO,25653,20180122,122.39,0.016106
SSO,25653,20171212,108.46,0.003145
SSO,25653,20170718,92.23,0.001194
SSO,25653,20171016,99.79,0.003217
SSO,25653,20180327,103.19,-0.034615
SSO,25653,20170927,95.83,0.007987
SSO,25653,20170908,92.46,-0.002912
SSO,25653,20180511,112.19,0.004207
SSO,25653,20170821,89.93,0.002117
SSO,25653,20180521,112.67,0.014679
SSO,25653,20180614,116.77,0.005251
SSO,25653,20180711,115.75,-0.014306
SSO,25653,20180727,119.37,-0.013226
SSO,25653,20180717,118.7,0.007897
SSO,25653,20180815,119.4,-0.014933
SSO,25653,20131025,92.51,0.008503
SSO,25653,20170418,83.4,-0.005841
SSO,25653,20170526,88.87,0.000563
SSO,25653,20170508,87.51,0.000114
SSO,25653,20180917,125.47,-0.011191
SSO,25653,20181004,126.35,-0.016196
SSO,25653,20170509,87.33,-0.002057
SSO,25653,20181010,116.4,-0.065361
SSO,25653,20170420,84.39,0.015401
SSO,25653,20170329,84.71,0.002367
SSO,25653,20170331,84.82,-0.004577
SSO,25653,20170322,83.81,0.003816
